"State/Territory","state_pop","state_dac_pop","state_tract_n","state_tract_dac_n","dac_pop_per","dac_tract_per"
"Alabama",4876250,2229013,1181,655,0.457116226608562,0.554614733276884
"Alaska",728818,130764,167,44,0.179419278887184,0.263473053892216
"Arizona",7017423,2488146,1526,566,0.354566911528634,0.370904325032765
"Arkansas",2999370,1640453,686,418,0.546932522496391,0.60932944606414
"California",39278430,14882581,8057,3081,0.378899589418416,0.382400397170163
"Colorado",5610349,1060921,1249,263,0.189100713698916,0.210568454763811
"Connecticut",3575074,706357,833,185,0.197578287889985,0.222088835534214
"Delaware",957248,125548,218,38,0.131155144748278,0.174311926605505
"District of Columbia",692683,229793,179,63,0.331743380449643,0.35195530726257
"Florida",20901636,8291991,4245,1721,0.3967149270038,0.405418138987044
"Georgia",10403847,3565456,1969,830,0.342705539595113,0.421533773489081
"Hawaii",1422094,209568,351,51,0.147365785946639,0.145299145299145
"Idaho",1717750,559821,298,119,0.325903653034493,0.399328859060403
"Illinois",12770631,3686510,3123,1061,0.288670935680469,0.339737431956452
"Indiana",6665703,1917093,1511,554,0.287605523378404,0.366644606221046
"Iowa",3139508,537521,825,177,0.171211858673397,0.214545454545455
"Kansas",2910652,738083,770,241,0.253579953907235,0.312987012987013
"Kentucky",4449052,1986077,1115,564,0.446404537416061,0.505829596412556
"Louisiana",4664362,2283855,1148,641,0.489639311871591,0.558362369337979
"Maine",1335492,381529,358,127,0.285684227236105,0.354748603351955
"Maryland",6018848,930142,1406,261,0.154538210634327,0.185633001422475
"Massachusetts",6850553,1390955,1478,335,0.20304273246262,0.226657645466847
"Michigan",9965265,3014224,2813,1002,0.302473040104804,0.356203341628155
"Minnesota",5563378,716657,1338,200,0.128816880679328,0.149476831091181
"Mississippi",2984418,1770531,664,435,0.593258384046739,0.655120481927711
"Missouri",6104910,2075509,1393,557,0.339973726066396,0.399856424982053
"Montana",1050649,323055,271,99,0.307481375797245,0.365313653136531
"Nebraska",1914571,427025,532,129,0.223039521647408,0.242481203007519
"Nevada",2972382,1031432,687,261,0.347005196505698,0.379912663755459
"New Hampshire",1348124,90471,295,25,0.0671088119490492,0.0847457627118644
"New Jersey",8878503,2206949,2010,536,0.248572197362551,0.266666666666667
"New Mexico",2092454,1085354,499,267,0.518699096849919,0.535070140280561
"New York",19515598,6805010,4919,1773,0.348695950797921,0.360439113640984
"North Carolina",10264876,3799180,2195,884,0.370114553746192,0.402733485193622
"North Dakota",756717,65280,205,22,0.0862673892617716,0.107317073170732
"Ohio",11655397,3335723,2952,1088,0.286195571030313,0.368563685636856
"Oklahoma",3932870,2829274,1046,781,0.719391691055133,0.746653919694073
"Oregon",4129803,1131010,834,239,0.273865363553661,0.286570743405276
"Pennsylvania",12791530,3060720,3218,884,0.239277084133016,0.274704785581106
"Rhode Island",1057231,265263,244,61,0.250903539529204,0.25
"South Carolina",5020806,2006356,1103,506,0.399608349735082,0.458748866727108
"South Dakota",856303,233961,222,72,0.273222212230951,0.324324324324324
"Tennessee",6709356,2720295,1497,696,0.405448004249588,0.464929859719439
"Texas",28260856,11271769,5265,2369,0.398847402215984,0.449952516619183
"Utah",3096848,433653,588,90,0.140030443857755,0.153061224489796
"Vermont",624313,87807,184,28,0.140645797861009,0.152173913043478
"Virginia",8448014,1750255,1907,449,0.207179462534035,0.235448348190876
"Washington",7404107,1429534,1458,306,0.193073114691616,0.209876543209877
"West Virginia",1817305,1023684,484,298,0.56329785038835,0.615702479338843
"Wisconsin",5790716,940248,1409,301,0.16237163072753,0.213626685592619
"Wyoming",581024,80289,132,20,0.138185341741477,0.151515151515152
"American Samoa",55519,55502,18,16,0.999693798519426,0.888888888888889
"Guam",159358,15156,57,9,0.0951066152938666,0.157894736842105
"Northern Mariana Islands",53883,51766,25,19,0.960711170499044,0.76
"Puerto Rico",3318447,3060023,945,824,0.922125018118415,0.871957671957672
"Virgin Islands",106405,24524,32,7,0.230477891076547,0.21875
